id;name;img_url;detail;price;seller_id;stock
1;Shoes Diverse archit;Prairie;../fake-data/blob/hipster.txt;95883;91050;57498
2;Metal cross-platform;Chief Supervisor Hat;../fake-data/blob/hipster.txt;80748;84485;39360
3;paradigms Home Loan ;Chief Forges;../fake-data/blob/hipster.txt;80039;94766;15134
4;turquoise Car;algorithm bluetooth;../fake-data/blob/hipster.txt;25797;26454;1233
5;even-keeled Frozen;Incredible Soft Bacon;../fake-data/blob/hipster.txt;31028;84828;51712
6;Som Clothing;attitude Investment Account whiteboard;../fake-data/blob/hipster.txt;62396;72985;11438
7;Fantastic Forward Re;eyeballs aggregate;../fake-data/blob/hipster.txt;98176;29790;9008
8;transmitting Granite;Analyst;../fake-data/blob/hipster.txt;92742;85869;47480
9;Rustic;Sleek Assurance optical;../fake-data/blob/hipster.txt;84166;59605;44394
10;Wooden Kids Rustic;Business-focused functionalities;../fake-data/blob/hipster.txt;56418;25162;63161
