id;name;good_id;author;sec_price;start;end
1;Money Market Account;42722;19613;99733;2020-11-05T03:10:13;2020-11-05T02:27:35
2;Integration Tunnel;5472;6061;32920;2020-11-04T14:58:16;2020-11-04T15:58:47
3;indexing hack;19691;61231;63735;2020-11-05T04:45:26;2020-11-04T22:48:05
4;Timor-Leste;36264;53080;61391;2020-11-05T10:15:44;2020-11-04T22:06:50
5;withdrawal Auto Loan Account Leone;49550;44196;43714;2020-11-04T21:40:12;2020-11-05T00:41:18
6;Maine;15839;16182;86243;2020-11-05T05:40:21;2020-11-05T06:16:29
7;Alabama Electronics;24436;7552;99362;2020-11-04T13:38:17;2020-11-04T17:32:59
8;artificial intelligence;21524;54312;9078;2020-11-05T09:57:53;2020-11-04T21:11:07
9;Shoes Cotton Swaziland;19403;48403;2956;2020-11-04T17:35:14;2020-11-04T20:57:46
10;Realigned copying navigate;93605;80150;17755;2020-11-05T03:39:46;2020-11-04T21:34:50
